Voornaam;Naam;Affiliatie;E-mail;Website;MijnKolom
Lotte;Schelles;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;A
Jannes;Verstichel;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;A
Tessa;Heylighen;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;A
Lisa;Luyten;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;C
Martine;Van Cutsem;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;A
Inge;Vandeurzen;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;A
Evelyn;Branswijk;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;C
Wim;De Pelsemaeker;Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen;;https://www.vlaanderen.be/ahovoks;C
Wim;Duerloo;CAW De Kempen;;https://www.caw.be/;C
Marina;Punie;Centrum voor Algemeen Welzijnswerk Limburg;;https://www.caw.be/;C
Bjorn;Callens;De Rode Antraciet vzw;;https://www.derodeantraciet.be/;C
Els;Tijskens;De Rode Antraciet vzw;;https://www.derodeantraciet.be/;C
Jelle;Miechielsen;De Rode Antraciet vzw;;https://www.derodeantraciet.be/;C
Geert;Lievens;Departement Cultuur, Jeugd en Media;;https://www.vlaanderen.be/cjm/nl;C
Sarah;De Decker;Departement Onderwijs en Vorming;;https://www.onderwijs.vlaanderen.be/departement-onderwijs-en-vorming;C
Patricia;Vroman;Departement Werk en Sociale Economie;;https://www.vlaanderen.be/departement-werk-sociale-economie;C
Sofie;Herroelen;Departement Zorg;;https://www.departementzorg.be/;C
Martine;Van Gierdeghom;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;C
Loeke;Clynen;Digitaal Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO002954;E
Louise;Ysewijn;Digitaal Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO002954;E
Mathieu;Tulpinck;Digitaal Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO002954;E
Heidi;Suykens;Federale Overheidsdienst Justitie;;https://justitie.belgium.be/nl;C
Dominique;Miguel Borm;Federale Overheidsdienst Justitie;;https://justitie.belgium.be/nl;C
Hilde;Verhoeven;Federale Overheidsdienst Justitie;;https://justitie.belgium.be/nl;C
Sam;Fonteyn;Federale Overheidsdienst Justitie;;https://justitie.belgium.be/nl;C
Pieter;Heyvaert;Digitaal Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO002954;E
Rudi;Kennes;Vlaams Agentschap voor Personen met een Handicap;;https://www.vaph.be/;C
Marleen;Strubbe;Vlaams Ondersteuningscentrum Voor het Volwassenenonderwijs;;https://www.vocvo.be/nl;C
Merel;De Maeseneer;Vlaams Ondersteuningscentrum Voor het Volwassenenonderwijs;;https://www.vocvo.be/nl;C
Claudia;Mc Kenzie;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;;https://www.vdab.be/;C
Jessica;Morias;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;;https://www.vdab.be/;C
Ronald;van Paassen;Wonen in Vlaanderen;;https://www.vlaanderen.be/wonen-in-vlaanderen;C
Samir;Boureghda;Zorgnet-Icuro;;https://www.zorgneticuro.be/;C
Simon;Martens;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;;https://www.vdab.be/;C
Tom;Van Sant;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;;https://www.vdab.be/;C
Noor;Verbeeck;Kabinet van de Vlaamse minister van Onderwijs, Justitie en Werk;;https://www.vlaanderen.be/organisaties/vlaamse-regering/zuhal-demir-vlaams-minister-van-onderwijs-justitie-en-werk/kabinet-van-de-vlaamse-minister-van-onderwijs-justitie-en-werk;A
Anke;Gittenaer;Agentschap Justitie en Handhaving;;https://www.vlaanderen.be/agentschap-justitie-en-handhaving;A
